annotation;enumeration_value
Бурлитское, Верхне-Перевальнинское, Приморский край;25:2:1
Охотничье, Верхне-Перевальнинское, Приморский край;25:2:10
Пожарское сельское, Верхне-Перевальнинское, Приморский край;25:2:11
Верхне-Перевальнинское, Верхне-Перевальнинское, Приморский край;25:2:2
Звеньевское, Верхне-Перевальнинское, Приморский край;25:2:3
Краснояровское, Верхне-Перевальнинское, Приморский край;25:2:4
Лермонтовское, Верхне-Перевальнинское, Приморский край;25:2:5
Лучегорское, Верхне-Перевальнинское, Приморский край;25:2:6
Пожарское, Верхне-Перевальнинское, Приморский край;25:2:7
Соболиное, Верхне-Перевальнинское, Приморский край;25:2:8
Стрельниковское, Верхне-Перевальнинское, Приморский край;25:2:9
Анисимовское, Владивостокское, Приморский край;25:3:1
Надеждинское, Владивостокское, Приморский край;25:3:10
Нежинское, Владивостокское, Приморский край;25:3:11
Островное, Владивостокское, Приморский край;25:3:12
Петровское, Владивостокское, Приморский край;25:3:13
Раздольнинское, Владивостокское, Приморский край;25:3:14
Садгородское, Владивостокское, Приморский край;25:3:15
Седанское, Владивостокское, Приморский край;25:3:16
Славянское, Владивостокское, Приморский край;25:3:17
Центральное, Владивостокское, Приморский край;25:3:18
Шкотовское, Владивостокское, Приморский край;25:3:19
Артемовское, Владивостокское, Приморский край;25:3:2
Хасанское сельское, Владивостокское, Приморский край;25:3:20
Барабашское, Владивостокское, Приморский край;25:3:3
Заводское, Владивостокское, Приморский край;25:3:4
Занадворовское, Владивостокское, Приморский край;25:3:5
Краскинское, Владивостокское, Приморский край;25:3:6
Кучелиновское, Владивостокское, Приморский край;25:3:7
Лазурное, Владивостокское, Приморский край;25:3:8
Многоудобненское, Владивостокское, Приморский край;25:3:9
Боголюбовское, Дальнереченское, Приморский край;25:4:1
Мартыново-Полянское, Дальнереченское, Приморский край;25:4:10
Марьяновское, Дальнереченское, Приморский край;25:4:11
Междуреченское, Дальнереченское, Приморский край;25:4:12
Пантелеймоновское, Дальнереченское, Приморский край;25:4:13
Пожигинское, Дальнереченское, Приморский край;25:4:14
Веденское, Дальнереченское, Приморский край;25:4:2
Зимниковское, Дальнереченское, Приморский край;25:4:3
Кировское, Дальнереченское, Приморский край;25:4:4
Кировское сельское, Дальнереченское, Приморский край;25:4:5
Ключевское, Дальнереченское, Приморский край;25:4:6
Курортное, Дальнереченское, Приморский край;25:4:7
Лесозаводское, Дальнереченское, Приморский край;25:4:8
Лесозаводское сельское, Дальнереченское, Приморский край;25:4:9
Без деления на участковые лесничества, Артемовское городское, Приморский край;25:58:00
Дальнегорское, Кавалеровское, Приморский край;25:5:1
Сихотэ-Алинское, Кавалеровское, Приморский край;25:5:10
Тайгинское, Кавалеровское, Приморский край;25:5:11
Устиновское, Кавалеровское, Приморский край;25:5:12
Черемшанское, Кавалеровское, Приморский край;25:5:13
Кавалеровское, Кавалеровское, Приморский край;25:5:2
Кавалеровское сельское, Кавалеровское, Приморский край;25:5:3
Лужковское, Кавалеровское, Приморский край;25:5:4
Маргаритовское, Кавалеровское, Приморский край;25:5:5
Михайловское, Кавалеровское, Приморский край;25:5:6
Мономаховское, Кавалеровское, Приморский край;25:5:7
Ольгинское, Кавалеровское, Приморский край;25:5:8
Пермское, Кавалеровское, Приморский край;25:5:9
Восточное, Рощинское, Приморский край;25:6:1
Таежное, Рощинское, Приморский край;25:6:10
Вострецовское, Рощинское, Приморский край;25:6:2
Голубичное, Рощинское, Приморский край;25:6:3
Дальнекутское, Рощинское, Приморский край;25:6:4
Долинное, Рощинское, Приморский край;25:6:5
Измайлихинское, Рощинское, Приморский край;25:6:6
Мельничное, Рощинское, Приморский край;25:6:7
Новопокровское, Рощинское, Приморский край;25:6:8
Пихтовое, Рощинское, Приморский край;25:6:9
Владимиро-Александровское, Сергеевское, Приморский край;25:7:1
Серебрянское, Сергеевское, Приморский край;25:7:10
Тигровское, Сергеевское, Приморский край;25:7:11
Углекаменское, Сергеевское, Приморский край;25:7:12
Фроловское, Сергеевское, Приморский край;25:7:13
Чернорученское, Сергеевское, Приморский край;25:7:14
Чистоводное, Сергеевское, Приморский край;25:7:15
Волчанецкое, Сергеевское, Приморский край;25:7:2
Киевское, Сергеевское, Приморский край;25:7:3
Лазовское, Сергеевское, Приморский край;25:7:4
Молчановское, Сергеевское, Приморский край;25:7:5
Находкинское, Сергеевское, Приморский край;25:7:6
Партизанское, Сергеевское, Приморский край;25:7:7
Партизанское сельское, Сергеевское, Приморский край;25:7:8
Сергеевское, Сергеевское, Приморский край;25:7:9
Бельцовское, Спасское, Приморский край;25:8:1
Нововладимировское, Спасское, Приморский край;25:8:2
Реттиховское, Спасское, Приморский край;25:8:3
Свиягинское, Спасское, Приморский край;25:8:4
Сибирцевское, Спасское, Приморский край;25:8:5
Спасское, Спасское, Приморский край;25:8:6
Спасское сельское, Спасское, Приморский край;25:8:7
Черниговское, Спасское, Приморский край;25:8:8
Агзинское, Тернейское, Приморский край;25:9:1
Амгинское, Тернейское, Приморский край;25:9:2
Малокемское, Тернейское, Приморский край;25:9:3
Пластунское, Тернейское, Приморский край;25:9:4
Самаргинское, Тернейское, Приморский край;25:9:5
Светлинское, Тернейское, Приморский край;25:9:6
Тернейское, Тернейское, Приморский край;25:9:7
Усть-Соболевское, Тернейское, Приморский край;25:9:8
Курсавское, Невинномысское, Ставропольский край;26:10:1
Невинномысское, Невинномысское, Ставропольский край;26:10:2
Зеленокумское, Нижне-Кумское, Ставропольский край;26:11:1
Нижне-Кумское, Нижне-Кумское, Ставропольский край;26:11:2
Грачевское, Ставропольское, Ставропольский край;26:12:1
Ставропольское, Ставропольское, Ставропольский край;26:12:2
Бештаугорское, Бештаугорское, Ставропольский край;26:1:1
Минераловодское, Бештаугорское, Ставропольский край;26:1:2
Георгиевское, Георгиевское, Ставропольский край;26:2:1
Кумское, Георгиевское, Ставропольский край;26:2:2
Дивенское, Дивенское, Ставропольский край;26:3:1
Ипатовское, Дивенское, Ставропольский край;26:3:2
Петровское, Дивенское, Ставропольский край;26:3:3
Туркменское, Дивенское, Ставропольский край;26:3:4
Ессентукское, Ессентукское, Ставропольский край;26:4:1
Григорополисское, Изобильненское, Ставропольский край;26:5:1
Изобильненское, Изобильненское, Ставропольский край;26:5:2
Благодарненское, Калаусское, Ставропольский край;26:6:1
Журавское, Калаусское, Ставропольский край;26:6:2
Калаусское, Калаусское, Ставропольский край;26:6:3
Кисловодское, Кисловодское, Ставропольский край;26:7:1
Курское, Курское, Ставропольский край;26:8:1
Степновское, Курское, Ставропольский край;26:8:2
Арзгирское, Левокумское, Ставропольский край;26:9:1
Левокумское, Левокумское, Ставропольский край;26:9:2
Нефтекумское, Левокумское, Ставропольский край;26:9:3
Даппинское, Гурское, Хабаровский край;27:10:1
Картельское, Гурское, Хабаровский край;27:10:2
Мачтовое, Гурское, Хабаровский край;27:10:3
Пиваньское, Гурское, Хабаровский край;27:10:4
Селихинское, Гурское, Хабаровский край;27:10:5
Снежное, Гурское, Хабаровский край;27:10:6
Быстринское, Де-Кастринское, Хабаровский край;27:11:1
Де-Кастринское, Де-Кастринское, Хабаровский край;27:11:2
Дуйское, Де-Кастринское, Хабаровский край;27:11:3
Софийское, Де-Кастринское, Хабаровский край;27:11:4
Иннокентьевское, Иннокентьевское, Хабаровский край;27:12:1
Маноминское, Иннокентьевское, Хабаровский край;27:12:2
Славянское, Иннокентьевское, Хабаровский край;27:12:3
Амгуньское, Кербинское, Хабаровский край;27:13:1
Кербинское, Кербинское, Хабаровский край;27:13:2
Нимеленское, Кербинское, Хабаровский край;27:13:3
Омальское, Кербинское, Хабаровский край;27:13:4
Херпучинское, Кербинское, Хабаровский край;27:13:5
Булавинское, Кизинское, Хабаровский край;27:14:1
Кизинское, Кизинское, Хабаровский край;27:14:2
Мариинское, Кизинское, Хабаровский край;27:14:3
Чильбинское, Кизинское, Хабаровский край;27:14:4
Бокторское, Комсомольское, Хабаровский край;27:15:1
Галичное, Комсомольское, Хабаровский край;27:15:2
Городское, Комсомольское, Хабаровский край;27:15:3
Хурбинское, Комсомольское, Хабаровский край;27:15:4
Инское, Кур-Урмийское, Хабаровский край;27:16:1
Куканское, Кур-Урмийское, Хабаровский край;27:16:2
Талаканское, Кур-Урмийское, Хабаровский край;27:16:3
Урмийское, Кур-Урмийское, Хабаровский край;27:16:4
Лазаревское, Лазаревское, Хабаровский край;27:17:1
Нигирьское, Лазаревское, Хабаровский край;27:17:2
Нижне-Амурское, Лазаревское, Хабаровский край;27:17:3
Дабандинское, Литовское, Хабаровский край;27:18:1
Даргинское, Литовское, Хабаровский край;27:18:2
Литовское, Литовское, Хабаровский край;27:18:3
Самболинское, Литовское, Хабаровский край;27:18:4
Верхне-Хорское, Мухенское, Хабаровский край;27:19:1
Мухенское, Мухенское, Хабаровский край;27:19:2
Немптинское, Мухенское, Хабаровский край;27:19:3
Сийское, Мухенское, Хабаровский край;27:19:4
Аванское, Аванское, Хабаровский край;27:1:1
Верхне-Подхоренковское, Аванское, Хабаровский край;27:1:2
Вяземское, Аванское, Хабаровский край;27:1:3
Капитоновское, Аванское, Хабаровский край;27:1:4
Подхоренковское, Аванское, Хабаровский край;27:1:5
Анюйское, Нанайское, Хабаровский край;27:20:1
Верхне-Анюйское, Нанайское, Хабаровский край;27:20:2
Гассинское, Нанайское, Хабаровский край;27:20:3
Елабужское, Нанайское, Хабаровский край;27:20:4
Озерное, Нанайское, Хабаровский край;27:20:5
Синдинское, Нанайское, Хабаровский край;27:20:6
Троицкое, Нанайское, Хабаровский край;27:20:7
Ильинское, Нижнетамбовское, Хабаровский край;27:21:1
Нижнетамбовское, Нижнетамбовское, Хабаровский край;27:21:2
Халбинское, Нижнетамбовское, Хабаровский край;27:21:3
Ягодное, Нижнетамбовское, Хабаровский край;27:21:4
Городское, Николаевское, Хабаровский край;27:22:1
Колчанское, Николаевское, Хабаровский край;27:22:2
Магинское, Николаевское, Хабаровский край;27:22:3
Многовершинное, Николаевское, Хабаровский край;27:22:4
Озерпахское, Николаевское, Хабаровский край;27:22:5
Верхне-Немптинское, Оборское, Хабаровский край;27:23:1
Дурминское, Оборское, Хабаровский край;27:23:2
Оборское, Оборское, Хабаровский край;27:23:3
Сидиминское, Оборское, Хабаровский край;27:23:4
Ситинское, Оборское, Хабаровский край;27:23:5
Инское, Охотское, Хабаровский край;27:24:1
Охотское, Охотское, Хабаровский край;27:24:2
Ульинское, Охотское, Хабаровский край;27:24:3
Амурское, Падалинское, Хабаровский край;27:25:1
Верхне-Курское, Падалинское, Хабаровский край;27:25:2
Падалинское, Падалинское, Хабаровский край;27:25:3
Эльбанское, Падалинское, Хабаровский край;27:25:4
Ванинское, Северное, Хабаровский край;27:26:1
Тумнинское, Северное, Хабаровский край;27:26:2
Хутинское, Северное, Хабаровский край;27:26:3
Городское, Советское, Хабаровский край;27:27:1
Гроссевичское, Советское, Хабаровский край;27:27:2
Коппинское, Советское, Хабаровский край;27:27:3
Нельминское, Советское, Хабаровский край;27:27:4
Совгаванское, Советское, Хабаровский край;27:27:5
Солнечное, Солнечное, Хабаровский край;27:28:1
Харпинское, Солнечное, Хабаровский край;27:28:2
Хурмулинское, Солнечное, Хабаровский край;27:28:3
Верхне-Сукпайское, Сукпайское, Хабаровский край;27:29:1
Горное, Сукпайское, Хабаровский край;27:29:2
Сукпайское, Сукпайское, Хабаровский край;27:29:3
Амгуньское, Амгуньское, Хабаровский край;27:2:1
Баджальское, Амгуньское, Хабаровский край;27:2:2
Боленское, Амгуньское, Хабаровский край;27:2:3
Дукинское, Амгуньское, Хабаровский край;27:2:4
Ниланское, Амгуньское, Хабаровский край;27:2:5
Средне-Амгуньское, Амгуньское, Хабаровский край;27:2:6
Восточное, Тумнинское, Хабаровский край;27:30:1
Мулинское, Тумнинское, Хабаровский край;27:30:2
Сизиманское, Тумнинское, Хабаровский край;27:30:3
Тулучинское, Тумнинское, Хабаровский край;27:30:4
Аланапское, Тырминское, Хабаровский край;27:31:1
Гуджиканское, Тырминское, Хабаровский край;27:31:2
Мельгинское, Тырминское, Хабаровский край;27:31:3
Согдинское, Тырминское, Хабаровский край;27:31:4
Сутарское, Тырминское, Хабаровский край;27:31:5
Таланджинское, Тырминское, Хабаровский край;27:31:6
Тырминское, Тырминское, Хабаровский край;27:31:7
Ушманское, Тырминское, Хабаровский край;27:31:8
Гурское, Уктурское, Хабаровский край;27:32:1
Джаурское, Уктурское, Хабаровский край;27:32:2
Уктурское, Уктурское, Хабаровский край;27:32:3
Бираканское, Уликанское, Хабаровский край;27:33:1
Ниранское, Уликанское, Хабаровский край;27:33:2
Уликанское, Уликанское, Хабаровский край;27:33:3
Ярапское, Уликанское, Хабаровский край;27:33:4
Богородское, Ульчское, Хабаровский край;27:34:1
Больше-Михайловское, Ульчское, Хабаровский край;27:34:2
Воскресенское, Ульчское, Хабаровский край;27:34:3
Тахтинское, Ульчское, Хабаровский край;27:34:4
Удыльское, Ульчское, Хабаровский край;27:34:5
Дубликанское, Ургальское, Хабаровский край;27:35:1
Нимаканское, Ургальское, Хабаровский край;27:35:2
Туюнское, Ургальское, Хабаровский край;27:35:3
Умальтинское, Ургальское, Хабаровский край;27:35:4
Ургальское, Ургальское, Хабаровский край;27:35:5
Чекундинское, Ургальское, Хабаровский край;27:35:6
Анастасьевское, Хабаровское, Хабаровский край;27:36:1
Брацлавское, Хабаровское, Хабаровский край;27:36:2
Вишневское, Хабаровское, Хабаровский край;27:36:3
Елабужское, Хабаровское, Хабаровский край;27:36:4
Лесопарковое, Хабаровское, Хабаровский край;27:36:5
Мало-Хехцирское, Хабаровское, Хабаровский край;27:36:6
Корфовское, Хехцирское, Хабаровский край;27:37:1
Лесопарковое, Хехцирское, Хабаровский край;27:37:2
Мало-Хехцирское, Хехцирское, Хабаровский край;27:37:3
Мало-Чиркинское, Хехцирское, Хабаровский край;27:37:4
Бичевское, Хорское, Хабаровский край;27:38:1
Катэнское, Хорское, Хабаровский край;27:38:2
Кафэнское, Хорское, Хабаровский край;27:38:3
Киинское, Хорское, Хабаровский край;27:38:4
Лазовское, Хорское, Хабаровский край;27:38:5
Чиркинское, Хорское, Хабаровский край;27:38:6
Чумиканское, Чумиканское, Хабаровский край;27:39:1
Аимское, Аянское, Хабаровский край;27:3:1
Аянское, Аянское, Хабаровский край;27:3:2
Нельканское, Аянское, Хабаровский край;27:3:3
Харпичанское, Эворонское, Хабаровский край;27:40:1
Чукчагирское, Эворонское, Хабаровский край;27:40:2
Эворонское, Эворонское, Хабаровский край;27:40:3
Эвурское, Эворонское, Хабаровский край;27:40:4
Литовское, Хабаровское, Хабаровский край;27:49:1
Утесное, Хабаровское, Хабаровский край;27:49:2
Хабаровское, Хабаровское, Хабаровский край;27:49:3
Верхне-Амгуньское, Баджальское, Хабаровский край;27:4:1
Гербинское, Баджальское, Хабаровский край;27:4:2
Сулукское, Баджальское, Хабаровский край;27:4:3
Бикинское, Бикинское, Хабаровский край;27:5:1
Звеньевское, Бикинское, Хабаровский край;27:5:2
Лермонтовское, Бикинское, Хабаровский край;27:5:3
Болоньское, Болоньское, Хабаровский край;27:6:1
Сельгонское, Болоньское, Хабаровский край;27:6:2
Харпинское, Болоньское, Хабаровский край;27:6:3
Киселевское, Быстринское, Хабаровский край;27:7:1
Ключевское, Быстринское, Хабаровский край;27:7:2
Сухановское, Быстринское, Хабаровский край;27:7:3
Верхне-Тумнинское, Высокогорное, Хабаровский край;27:8:1
Высокогорное, Высокогорное, Хабаровский край;27:8:2
Кенадское, Высокогорное, Хабаровский край;27:8:3
Северное, Высокогорное, Хабаровский край;27:8:4
Тумнинское, Высокогорное, Хабаровский край;27:8:5
Горинское, Горинское, Хабаровский край;27:9:1
Октябрьское, Горинское, Хабаровский край;27:9:2
Снежное, Горинское, Хабаровский край;27:9:3
Хурмулинское, Горинское, Хабаровский край;27:9:4
Загорненское, Свободненское, Амурская область;28:10:1
Ледянское, Свободненское, Амурская область;28:10:2
Свободненское, Свободненское, Амурская область;28:10:3
Семеновское, Свободненское, Амурская область;28:10:4
Беленькое, Тындинское, Амурская область;28:11:1
Соловьевское, Тындинское, Амурская область;28:11:10
Тындинское, Тындинское, Амурская область;28:11:11
Унахинское, Тындинское, Амурская область;28:11:12
Урканское, Тындинское, Амурская область;28:11:13
Уркиминское, Тындинское, Амурская область;28:11:14
Утугайское, Тындинское, Амурская область;28:11:15
Хорогочинское, Тындинское, Амурская область;28:11:16
Джелтулакское, Тындинское, Амурская область;28:11:2
Дипкунское, Тындинское, Амурская область;28:11:3
Ларбинское, Тындинское, Амурская область;28:11:4
Моготское, Тындинское, Амурская область;28:11:5
Нюкжинское, Тындинское, Амурская область;28:11:6
Пригородное, Тындинское, Амурская область;28:11:7
Северо-Ларбинское, Тындинское, Амурская область;28:11:8
Сигиктинское, Тындинское, Амурская область;28:11:9
Бейтоновское, Урушинское, Амурская область;28:12:1
Урушинское, Урушинское, Амурская область;28:12:10
Верхненюкжинское, Урушинское, Амурская область;28:12:2
Верхнеурушинское, Урушинское, Амурская область;28:12:3
Джалиндинское, Урушинское, Амурская область;28:12:4
Ерофеевское, Урушинское, Амурская область;28:12:5
Игнашинское, Урушинское, Амурская область;28:12:6
Сковородинское, Урушинское, Амурская область;28:12:7
Талданское, Урушинское, Амурская область;28:12:8
Тахтамыгдинское, Урушинское, Амурская область;28:12:9
Кумарское, Шимановское, Амурская область;28:13:1
Кухтеринское, Шимановское, Амурская область;28:13:2
Мухинское, Шимановское, Амурская область;28:13:3
Нововоскресеновское, Шимановское, Амурская область;28:13:4
Новогеоргиевское, Шимановское, Амурская область;28:13:5
Селетканское, Шимановское, Амурская область;28:13:6
Чагоянское, Шимановское, Амурская область;28:13:7
Шимановское, Шимановское, Амурская область;28:13:8
Антоновское, ГПЗ Хинганский, Амурская область;28:16:1
Лебединское, ГПЗ Хинганский, Амурская область;28:16:2
Хинганское, ГПЗ Хинганский, Амурская область;28:16:3
Архаринское, Архаринское, Амурская область;28:1:1
Кундурское, Архаринское, Амурская область;28:1:2
Татаканское, Архаринское, Амурская область;28:1:3
Урильское, Архаринское, Амурская область;28:1:4
Белогорское, Белогорское, Амурская область;28:2:1
Ромненское, Белогорское, Амурская область;28:2:2
Серышевское, Белогорское, Амурская область;28:2:3
Советское, Белогорское, Амурская область;28:2:4
Городское, Благовещенское, Амурская область;28:3:1
Натальинское, Благовещенское, Амурская область;28:3:2
Сергеевское, Благовещенское, Амурская область;28:3:3
Бахиревское, Бурейское, Амурская область;28:4:1
Бурейское, Бурейское, Амурская область;28:4:2
Кулустайское, Бурейское, Амурская область;28:4:3
Чеугдинское, Бурейское, Амурская область;28:4:4
Завитинское, Завитинское, Амурская область;28:5:1
Михайловское, Завитинское, Амурская область;28:5:2
Октябрьское, Завитинское, Амурская область;28:5:3
Райчихинское, Завитинское, Амурская область;28:5:4
Бомнакское, Зейское, Амурская область;28:6:1
Огоронское, Зейское, Амурская область;28:6:10
Октябрьское, Зейское, Амурская область;28:6:11
Потехинское, Зейское, Амурская область;28:6:12
Снежногорское, Зейское, Амурская область;28:6:13
Туксинское, Зейское, Амурская область;28:6:14
Урканское, Зейское, Амурская область;28:6:15
Верхненорское, Зейское, Амурская область;28:6:2
Горненское, Зейское, Амурская область;28:6:3
Дугдинское, Зейское, Амурская область;28:6:4
Зейское, Зейское, Амурская область;28:6:5
Золотогорское, Зейское, Амурская область;28:6:6
Кировское, Зейское, Амурская область;28:6:7
Ново-Ямпольское, Зейское, Амурская область;28:6:8
Овсянковское, Зейское, Амурская область;28:6:9
Гонжинское, Магдагачинское, Амурская область;28:7:1
Магдагачинское, Магдагачинское, Амурская область;28:7:2
Сивакское, Магдагачинское, Амурская область;28:7:3
Толбузинское, Магдагачинское, Амурская область;28:7:4
Тыгдинское, Магдагачинское, Амурская область;28:7:5
Ушумунское, Магдагачинское, Амурская область;28:7:6
Черняевское, Магдагачинское, Амурская область;28:7:7
Лебединское, Мазановское, Амурская область;28:8:1
Мазановское, Мазановское, Амурская область;28:8:2
Майское, Мазановское, Амурская область;28:8:3
Маргаритовское, Мазановское, Амурская область;28:8:4
Новороссийское, Мазановское, Амурская область;28:8:5
Златоустовское, Норское, Амурская область;28:9:1
Меунское, Норское, Амурская область;28:9:2
Норское, Норское, Амурская область;28:9:3
Огоджинское, Норское, Амурская область;28:9:4
Стойбинское, Норское, Амурская область;28:9:5
Февральское, Норское, Амурская область;28:9:6
Экимчанское, Норское, Амурская область;28:9:7
Янсайское, Норское, Амурская область;28:9:8
Вандышское, Коношское, Архангельская область;29:10:1
Хмельницкое, Коношское, Архангельская область;29:10:10
Ширихановское, Коношское, Архангельская область;29:10:11
Ерцевское, Коношское, Архангельская область;29:10:2
Климовское, Коношское, Архангельская область;29:10:3
Коношское, Коношское, Архангельская область;29:10:4
Подюжское, Коношское, Архангельская область;29:10:5
Ротковецкое, Коношское, Архангельская область;29:10:6
Тавреньгское, Коношское, Архангельская область;29:10:7
Тавреньгское сельское, Коношское, Архангельская область;29:10:8
Фоминское, Коношское, Архангельская область;29:10:9
Вычегодское, Котласское, Архангельская область;29:11:1
Котласское, Котласское, Архангельская область;29:11:2
Котласское сельское, Котласское, Архангельская область;29:11:3
Северное, Котласское, Архангельская область;29:11:4
Удимское, Котласское, Архангельская область;29:11:5
Черемушское, Котласское, Архангельская область;29:11:6
Шипицинское, Котласское, Архангельская область;29:11:7
Шипицинское сельское, Котласское, Архангельская область;29:11:8
Комаровское, Красноборское, Архангельская область;29:12:1
Белослудское, Красноборское, Архангельская область;29:12:10
Пермогорское, Красноборское, Архангельская область;29:12:11
Красноборское, Красноборское, Архангельская область;29:12:2
Красноборское сельское, Красноборское, Архангельская область;29:12:3
Новошинское, Красноборское, Архангельская область;29:12:4
Праводвинское, Красноборское, Архангельская область;29:12:5
Слободское, Красноборское, Архангельская область;29:12:6
Уфтюгское, Красноборское, Архангельская область;29:12:7
Уфтюгское сельское, Красноборское, Архангельская область;29:12:8
Черевковское, Красноборское, Архангельская область;29:12:9
Вожгорское, Лешуконское, Архангельская область;29:13:1
Койнасское, Лешуконское, Архангельская область;29:13:2
Лешуконское, Лешуконское, Архангельская область;29:13:3
Олемское, Лешуконское, Архангельская область;29:13:4
Усть-Вашское, Лешуконское, Архангельская область;29:13:5
Кымское, Лешуконское, Архангельская область;29:13:6
Ценогорское, Лешуконское, Архангельская область;29:13:7
Юромское, Лешуконское, Архангельская область;29:13:8
Бычьевское, Мезенское, Архангельская область;29:14:1
Кулойское, Мезенское, Архангельская область;29:14:2
Мезенское, Мезенское, Архангельская область;29:14:3
Мосеевское, Мезенское, Архангельская область;29:14:4
Ручьевское, Мезенское, Архангельская область;29:14:5
Совпольское, Мезенское, Архангельская область;29:14:6
Соянское, Мезенское, Архангельская область;29:14:7
Бурачихинское, Няндомское, Архангельская область;29:15:1
Лимское, Няндомское, Архангельская область;29:15:2
Мошинское, Няндомское, Архангельская область;29:15:3
Няндомское, Няндомское, Архангельская область;29:15:4
Няндомское сельское, Няндомское, Архангельская область;29:15:5
Шалакушское, Няндомское, Архангельская область;29:15:6
Шожемское, Няндомское, Архангельская область;29:15:7
Ивакшанское, Няндомское, Архангельская область;29:15:8
Лепшинское, Няндомское, Архангельская область;29:15:9
Верховское, Обозерское, Архангельская область;29:16:1
Турчасовское, Обозерское, Архангельская область;29:16:10
Войборское, Обозерское, Архангельская область;29:16:2
Емцовское, Обозерское, Архангельская область;29:16:3
Емцовское учебно-опытное, Обозерское, Архангельская область;29:16:4
Кирилловское, Обозерское, Архангельская область;29:16:5
Левашское, Обозерское, Архангельская область;29:16:6
Озерское, Обозерское, Архангельская область;29:16:7
Пермиловское, Обозерское, Архангельская область;29:16:8
Северное, Обозерское, Архангельская область;29:16:9
Караминское, Онежское, Архангельская область;29:17:1
Унежемское, Онежское, Архангельская область;29:17:10
Чекуевское, Онежское, Архангельская область;29:17:11
Клещевское, Онежское, Архангельская область;29:17:12
Кодинское, Онежское, Архангельская область;29:17:2
Кожское, Онежское, Архангельская область;29:17:3
Малошуйское, Онежское, Архангельская область;29:17:4
Нижмозерское, Онежское, Архангельская область;29:17:5
Нименьгское, Онежское, Архангельская область;29:17:6
Онежское, Онежское, Архангельская область;29:17:7
Онежское сельское, Онежское, Архангельская область;29:17:8
Прилукское, Онежское, Архангельская область;29:17:9
Ежугское, Пинежское, Архангельская область;29:18:1
Келдинское, Пинежское, Архангельская область;29:18:2
Кулойское, Пинежское, Архангельская область;29:18:3
Пинежское, Пинежское, Архангельская область;29:18:4
Пинежское сельское, Пинежское, Архангельская область;29:18:5
Сояльское, Пинежское, Архангельская область;29:18:6
Труфанагорское, Пинежское, Архангельская область;29:18:7
Липаковское, Плесецкое, Архангельская область;29:19:1
Шелекское, Плесецкое, Архангельская область;29:19:10
Оксовское, Плесецкое, Архангельская область;29:19:2
Плесецкое, Плесецкое, Архангельская область;29:19:3
Плесецкое сельское, Плесецкое, Архангельская область;29:19:4
Пуксинское, Плесецкое, Архангельская область;29:19:5
Федовское, Плесецкое, Архангельская область;29:19:6
Красновское, Плесецкое, Архангельская область;29:19:7
Мошинское, Плесецкое, Архангельская область;29:19:8
Североонежское, Плесецкое, Архангельская область;29:19:9
Архангельское, Архангельское, Архангельская область;29:1:1
Беломорское, Архангельское, Архангельская область;29:1:2
Ижемское, Архангельское, Архангельская область;29:1:3
Исакогорское, Архангельское, Архангельская область;29:1:4
Кепинское, Архангельское, Архангельская область;29:1:5
Лодемское, Архангельское, Архангельская область;29:1:6
Новодвинское, Архангельское, Архангельская область;29:1:7
Поморское, Архангельское, Архангельская область;29:1:8
Усть-Двинское, Архангельское, Архангельская область;29:1:9
Кенозерское, Приозерное, Архангельская область;29:20:1
Коневское, Приозерное, Архангельская область;29:20:2
Лелемское, Приозерное, Архангельская область;29:20:3
Самковское, Приозерное, Архангельская область;29:20:4
Ундозерское, Приозерное, Архангельская область;29:20:5
Янгорское, Приозерное, Архангельская область;29:20:6
Кенорецкое, Приозерное, Архангельская область;29:20:7
Выяжское, Пуксоозерское, Архангельская область;29:21:1
